,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44
0,6.775208706305625e-06,5.127267591929227e-06,4.853165725145969e-06,4.874597373916968e-06,2.687192252236707e-06,6.3319837936151065e-06,1.927758966013547e-06,2.8463098521996536e-06,1.925123718749462e-06,2.3561510369663585e-06,3.4781468241909693e-06,2.9415560488531355e-06,2.7667606257221707e-06,2.8909697122236906e-06,2.2087505769904807e-06,1.7271336526611647e-06,2.0945295521232823e-06,3.1568693874834612e-06,2.5678782672164682e-06,1.4146499179444728e-06,2.6163574744472336e-06,2.6932937526787397e-06,1.843957664444622e-05,2.1676809192014858e-05,2.120695262964426e-05,2.3695682071233297e-05,2.218399617685865e-05,2.0840414930822567e-05,2.2394351851625546e-05,2.2392425406379636e-05,2.115625731266404e-05,1.9834003553485448e-05,2.3136900829913065e-05,1.800798839454871e-05,1.6846233910161864e-05,2.0457517934547638e-05,1.7927568606361617e-05,1.8431873395133286e-05,1.4026454790534672e-05,2.3396710179598676e-05,2.6238363628560468e-05,1.617143152425209e-05,3.675798375896218e-06,3.776502905396813e-06
1,1.3024121998570737e-05,1.1267927231069504e-05,1.1401461506148784e-05,9.455341574532297e-06,4.664178147594371e-06,4.4636789935332145e-06,0.0001073786049996447,8.539581967724919e-06,1.5939478067434768e-05,8.351111329113966e-06,7.267130177014213e-06,4.972077460619548e-06,6.116990738213857e-06,5.974057278340656e-06,5.7784526080130365e-06,5.207024559786102e-06,5.089382048573193e-06,6.02956733618667e-06,1.6080854663363715e-06,4.748436858702704e-06,1.3637165671394321e-05,7.1791129625630455e-06,3.219341121027347e-05,3.7755000672580034e-05,4.214668319853447e-05,3.7273853872902255e-05,3.540767478820207e-05,3.212184907601924e-05,4.1138234205977195e-05,3.569620503511158e-05,3.1726640546421176e-05,3.216199234707338e-05,3.371337757726568e-05,3.679003742951011e-05,3.091667597046823e-05,4.017989999983262e-05,3.920036857430014e-05,3.273891195282935e-05,3.3000384689643925e-05,3.8617151662156256e-05,3.49958720894758e-05,2.9880617803690203e-05,6.2261676063635815e-06,6.619168865652187e-06
2,1.2344694886865338e-05,1.537645499451673e-05,1.2585401035712645e-05,1.2469507836683393e-05,7.461870799614556e-06,3.3743817831010366e-06,3.68840260337411e-05,7.910681438995437e-06,6.776304298740577e-06,5.975200633179218e-06,1.0976140081316628e-05,7.434340841147353e-06,9.55924152748594e-06,8.931408216584538e-06,8.799283303943774e-06,7.357239554045034e-06,7.252738611332908e-06,8.757736365001206e-06,5.956276753277915e-06,7.135630428940462e-06,4.620369917255247e-06,8.997607825782186e-06,4.312882652939825e-05,5.239201717007719e-05,5.7087199251966405e-05,5.204012379475539e-05,4.565073189097801e-05,3.7449465280647256e-05,5.3943324171832574e-05,4.776612367721384e-05,5.033495433296793e-05,4.188709656081125e-05,4.862721629817568e-05,4.9174403691812936e-05,3.962810292993439e-05,4.915328295932041e-05,4.870870989483359e-05,3.9459946435731126e-05,4.051196964358684e-05,5.096626335665219e-05,5.48480936591126e-05,3.9060711684580655e-05,1.1392247034521483e-05,9.413335250019305e-06
3,1.8734095300195995e-05,1.680455533571203e-05,1.686066475405625e-05,1.5510746794432648e-05,9.546723066957034e-06,2.9846484411665238e-06,8.964081375569939e-06,7.0953496227158736e-06,8.158004963196909e-06,9.660431053103688e-06,1.1185054900210706e-05,1.0947002961010344e-05,9.806845107060865e-06,1.020682333279606e-05,1.1503538686954638e-05,1.2586423255810445e-05,1.0193757306496966e-05,9.659494443114861e-06,1.8191256029668119e-06,8.80101499995375e-06,1.1403838455483432e-05,1.1578560440904178e-05,5.3365005049228134e-05,6.972275932426512e-05,7.242956268347484e-05,6.113132701216781e-05,5.637369198560524e-05,5.0763569761605675e-05,7.214380073948225e-05,5.6923827538627187e-05,6.277407414107691e-05,5.4286222060602126e-05,6.412451102485797e-05,5.74290727301427e-05,4.744615018101256e-05,5.5301244608690065e-05,5.883550064749884e-05,6.0388534103250944e-05,5.8217945882236714e-05,5.365885422461249e-05,5.7619767224921606e-05,5.121533652203605e-05,1.3742421352560156e-05,1.3577532246712682e-05
4,1.9457869655180605e-05,1.6916393950352014e-05,1.8172742083668506e-05,1.738693107366341e-05,1.1507870081756804e-05,1.642864873895256e-05,1.2061182674373226e-05,1.1238586884933138e-05,9.66924068356322e-06,1.2750213777007067e-05,1.2727430839106789e-05,1.3311506984300043e-05,1.144889008272647e-05,1.2870482331153113e-05,1.4305763400255646e-05,1.3824720719570558e-05,1.2043075310931141e-05,1.1153392717718982e-05,6.809058254084441e-06,1.2276204200713136e-05,4.044277745971931e-06,1.3372911828884484e-05,6.366857616435908e-05,8.29232994900007e-05,8.030269257338446e-05,7.754537454693535e-05,7.179273524527937e-05,6.700328128386695e-05,8.601018548182221e-05,7.314560094349946e-05,6.957534796938853e-05,7.207092961990024e-05,7.816793664523378e-05,6.843250993245946e-05,6.257859624748819e-05,6.159495939837167e-05,6.465708482288598e-05,7.32083243837963e-05,7.086471061493615e-05,7.746500616302558e-05,7.072370409872517e-05,6.118215744221184e-05,1.4332741783650093e-05,1.4901564195110161e-05
5,2.241742219709508e-05,1.653908032587189e-05,1.884871123466519e-05,1.887810988347563e-05,1.116767125508589e-05,1.2826748089767933e-05,1.1885477105884157e-05,1.3787377599381535e-05,1.2726044313398887e-05,1.680457757696999e-05,2.0401053667208295e-05,1.4334537015720724e-05,1.916681657731501e-05,1.7266955641728142e-05,2.3273367283452328e-05,1.4207877853426225e-05,1.720141924192498e-05,1.6824906188981736e-05,1.0758900576898634e-05,1.108952767101393e-05,8.156967580417858e-06,1.688633038295217e-05,6.937911445909392e-05,9.759641514062465e-05,0.00010501219190835695,8.145585391061926e-05,7.960485067555661e-05,7.19779698774175e-05,9.906085710168779e-05,8.42387540477689e-05,7.929057672865859e-05,8.424514721478712e-05,9.016605902168324e-05,8.051456465363514e-05,7.464810109413802e-05,7.294814813931925e-05,7.58986105150035e-05,8.446537194087324e-05,8.610661572973749e-05,9.601990234528193e-05,8.280733447234288e-05,6.614055209701633e-05,1.632494659493106e-05,1.764796860287098e-05
6,2.363469714380112e-05,2.6488943784018877e-05,2.4823230940254444e-05,2.4286377086318728e-05,2.0276641919647676e-05,2.0258366827771658e-05,9.987506377512981e-06,1.3673025886627361e-05,1.3947221427267991e-05,1.771684363648555e-05,2.0626920087906074e-05,1.694779687845107e-05,1.819238358250942e-05,1.84347632425503e-05,2.3271150253481753e-05,1.6524266229970266e-05,1.78024241243203e-05,1.6301656426987713e-05,1.3245564088372097e-05,1.2008276067972748e-05,8.995112996632463e-06,1.8448777469021417e-05,8.637341631974091e-05,0.00012198960876359947,0.00011605537125464169,9.806123450853199e-05,8.516306068980732e-05,9.006592716217948e-05,0.00011955911516834441,8.77412339169669e-05,9.224347640589897e-05,8.508664646254092e-05,9.682775214855733e-05,9.166812906404064e-05,7.472612061549093e-05,7.924938680544748e-05,9.598084820115542e-05,9.094389156722037e-05,9.49949652263406e-05,9.639317203560435e-05,8.670318339996354e-05,7.685352695507668e-05,2.352137276040233e-05,1.9508410089231928e-05
7,2.6101015216505827e-05,3.133417988952222e-05,2.7005209008954824e-05,2.7825232406057688e-05,1.664631320576275e-05,1.9805117265189344e-05,1.2946404116525797e-05,1.5078439197098295e-05,1.4237541460270103e-05,1.859784483003627e-05,2.7157742259536845e-05,1.978239193517617e-05,2.4579312335932687e-05,2.250013142526467e-05,2.2859990480648867e-05,1.829912711963546e-05,1.720874516175246e-05,2.0500675487261256e-05,1.626211469541085e-05,1.2619679603429332e-05,1.185267222409153e-05,2.2041818077555914e-05,9.373845980845088e-05,0.00013133374006033118,0.00012771411519292352,0.00010888346037723745,0.00010128645185137873,9.76638566130653e-05,0.0001324183322498554,0.00010823048283081767,0.00010025568815504917,9.750673819994076e-05,9.985572358469747e-05,0.0001205391040404683,9.235950166588688e-05,0.00010881428873132894,0.00011088110519935019,9.982035132274613e-05,0.00010333424891203763,0.00012489736884921574,9.696213616316599e-05,8.163866360671189e-05,2.193245800724222e-05,2.060606441542338e-05
8,3.2950338366389e-05,3.126403711241382e-05,3.1125634431347956e-05,3.0201203313033334e-05,1.8529093427990318e-05,2.1981257952320987e-05,1.476315651357341e-05,1.6290015281475187e-05,1.6543160251887593e-05,1.8933397471536742e-05,3.0256115549329524e-05,1.9233346258638756e-05,2.574279143614688e-05,2.3550156786589652e-05,2.272865327931918e-05,1.9190569816108578e-05,1.7508454154191002e-05,2.1028568776782196e-05,9.095947243566652e-06,1.2864102152142243e-05,4.120564151862882e-06,2.2853481548934754e-05,0.00010137550739577055,0.00014548240479191367,0.0001467146254893666,0.00011977943919807752,0.00011767051456828234,0.00010910467909356893,0.00014520563348583218,0.00012185824227879772,0.00011713839375868702,0.00010768710771610086,0.00011276051934160241,0.0001224556326330052,9.978460225381613e-05,0.0001103893826470631,0.00011170550423644108,0.00011663890175579074,0.0001059256035758046,0.00012448746304440073,0.00010888162165428187,9.704027558833437e-05,2.6233632716047366e-05,2.6412770060978126e-05
